;DroneAnnealing: (1, 0.4, 1);DroneHiveGWO: ('grey',);
0;0.0;0.0;
5;0.0;0.0;
10;0.0;0.0;
15;0.0;0.0;
20;0.0;0.0;
25;0.0;0.0;
30;0.0;0.0;
35;0.0;0.0;
40;0.0;0.0;
45;0.0;0.0;
50;0.0;0.0;
55;0.0;0.0;
60;0.00014097744360902254;0.0;
65;0.0005639097744360902;0.0007518796992481203;
70;0.0010189793233082707;0.0007518796992481203;
75;0.001733562969924812;0.003152225563909775;
80;0.002298488721804511;0.00579193984962406;
85;0.002708992481203008;0.007741924812030074;
90;0.0035151353383458647;0.009774436090225564;
95;0.004865793233082706;0.010340345864661654;
100;0.006097302631578947;0.016911609022556392;
105;0.007081404135338345;0.016911609022556392;
110;0.007472515037593986;0.019001533834586467;
115;0.007472515037593986;0.024369804511278192;
120;0.007472515037593986;0.02498911278195489;
125;0.007758612781954886;0.025012451127819548;
130;0.00823753289473684;0.029619157894736844;
135;0.008741312030075188;0.03287816541353383;
140;0.008931707706766916;0.03287816541353383;
145;0.008931707706766916;0.03287816541353383;
150;0.008931707706766916;0.03351848120300752;
155;0.008931707706766916;0.03483216541353384;
160;0.008931707706766916;0.038046015037593986;
165;0.008931707706766916;0.038046015037593986;
170;0.008931707706766916;0.04415403007518797;
175;0.008931707706766916;0.050493187969924816;
180;0.008931707706766916;0.050493187969924816;
185;0.008931707706766916;0.05485640601503759;
190;0.008931707706766916;0.058642496240601506;
195;0.008931707706766916;0.07132102255639099;
200;0.008931707706766916;0.07792942857142857;
205;0.008931707706766916;0.08018506766917294;
210;0.008946562969924812;0.08298404511278196;
215;0.009000125000000001;0.08380789473684211;
220;0.00905616165413534;0.0847126015037594;
225;0.009338116541353383;0.08711706766917293;
230;0.00964316447368421;0.08711706766917293;
235;0.010162403195488721;0.09007687218045114;
240;0.010752791353383457;0.10498496240601503;
245;0.01125818984962406;0.11733362406015037;
250;0.011666267857142858;0.13184566917293233;
255;0.012240784774436091;0.14862470676691728;
260;0.012962348684210525;0.17406505263157895;
265;0.013494831766917294;0.1922565413533835;
270;0.013962329887218045;0.2110448721804511;
275;0.014142014097744363;0.24561419548872182;
280;0.014167581766917294;0.28489932330827067;
285;0.014203861842105266;0.31087348872180454;
290;0.014724921992481203;0.32493830075187974;
295;0.015257404135338347;0.3472156090225563;
300;0.015551788533834586;0.379946962406015;
305;0.015590494360902256;0.3824014586466165;
310;0.015590494360902256;0.4334224360902256;
315;0.015590494360902256;0.4776983157894737;
320;0.015590494360902256;0.5179972932330827;
325;0.015590494360902256;0.5493979849624061;
330;0.015806507518796992;0.5940483007518798;
335;0.016165116541353386;0.6063188571428572;
340;0.016386940789473687;0.6088986015037594;
345;0.016440501879699247;0.6441687067669174;
350;0.01657940789473684;0.6727247969924812;
355;0.0167694492481203;0.6837798796992481;
360;0.017081114661654136;0.7043522406015039;
365;0.01747676315789474;0.744816030075188;
370;0.017817228383458648;0.7875058947368423;
375;0.01801267857142857;0.8089857894736843;
380;0.01801267857142857;0.8467585563909775;
385;0.01801267857142857;0.8739389172932331;
390;0.018208934210526318;0.886430045112782;
395;0.01874141635338346;0.8889299699248122;
400;0.019710872180451127;0.9059822556390978;
405;0.020761383458646615;0.9445104962406016;
410;0.021650807330827068;0.9489376842105265;
415;0.022812375939849625;0.9489376842105265;
420;0.024210833646616543;0.9489376842105265;
425;0.02536493045112782;0.9538509473684211;
430;0.026650766917293237;0.9659170225563911;
435;0.027316480263157895;0.9659170225563911;
440;0.02740522556390978;0.98363430075188;
445;0.02740522556390978;0.9845267669172935;
450;0.02740522556390978;0.9845267669172935;
455;0.02740522556390978;0.9845267669172935;
460;0.02740522556390978;0.9890589473684213;
465;0.02740522556390978;0.9890589473684213;
470;0.02740522556390978;0.9902975488721807;
475;0.02740522556390978;0.9906687218045113;
480;0.02740522556390978;0.9910778195488721;
485;0.02740522556390978;0.9914869172932331;
490;0.02740522556390978;0.9914869172932331;
495;0.02742008082706767;0.9914869172932331;
500;0.027697650375939853;0.9914869172932331;
505;0.028156395676691728;0.9914869172932331;
510;0.028479087406015038;0.9914869172932331;
515;0.02853264943609023;0.9914869172932331;
520;0.028596061090225566;0.9914869172932331;
525;0.028641489661654133;0.9914869172932331;
530;0.028875130639097742;0.9914869172932331;
535;0.029790371240601507;0.9914869172932331;
540;0.030779687969924814;0.9914869172932331;
545;0.03189831015037594;0.9914869172932331;
550;0.033596657894736835;0.9914869172932331;
555;0.035640838345864664;0.9914869172932331;
560;0.03728006296992481;0.9914869172932331;
565;0.038645624999999996;0.9914869172932331;
570;0.03921464567669172;0.9914869172932331;
575;0.039422266917293225;0.9914869172932331;
580;0.039818978383458645;0.9914869172932331;
585;0.04046520112781955;0.9914869172932331;
590;0.04124810620300752;0.9914869172932331;
595;0.04237846334586466;0.9914869172932331;
600;0.04382475187969925;0.9914869172932331;
605;0.04577666541353383;0.9914869172932331;
610;0.04841155545112781;0.9914869172932331;
615;0.05152097556390976;0.9914869172932331;
620;0.05540498684210526;0.9914869172932331;
625;0.0589075704887218;0.9914869172932331;
630;0.061614307330827074;0.9914869172932331;
635;0.06404626785714286;0.9914869172932331;
640;0.06555079229323309;0.9914869172932331;
645;0.06585547838345865;0.9914869172932331;
650;0.06585547838345865;0.9914869172932331;
655;0.06585547838345865;0.9914869172932331;
660;0.06585547838345865;0.9914869172932331;
665;0.06585547838345865;0.9914869172932331;
670;0.06586619078947369;0.9914869172932331;
675;0.06586619078947369;0.9914869172932331;
680;0.06586619078947369;0.9914869172932331;
685;0.06586619078947369;0.9914869172932331;
690;0.06586619078947369;0.9914869172932331;
695;0.0658827142857143;0.9914869172932331;
700;0.0660236917293233;0.9914869172932331;
705;0.06644909868421053;0.9914869172932331;
710;0.0668893129699248;0.9914869172932331;
715;0.06759612593984962;0.9914869172932331;
720;0.06829352537593986;0.9914869172932331;
725;0.0693434887218045;0.9914869172932331;
730;0.07105774718045113;0.9914869172932331;
735;0.07320485244360901;0.9914869172932331;
740;0.07487652725563909;0.9914869172932331;
745;0.07616091353383458;0.9914869172932331;
750;0.07885347932330826;0.9914869172932331;
755;0.08051651409774435;0.9914869172932331;
760;0.08165989755639098;0.9914869172932331;
765;0.08207246428571427;0.9914869172932331;
770;0.08300276315789473;0.9914869172932331;
775;0.08368931203007518;0.9914869172932331;
780;0.08429868421052632;0.9914869172932331;
785;0.08564828665413533;0.9914869172932331;
790;0.0877538787593985;0.9914869172932331;
795;0.08976480451127819;0.9914869172932331;
800;0.09207231203007517;0.9914869172932331;
805;0.09276339943609022;0.9914869172932331;
810;0.09300584210526315;0.9914869172932331;
815;0.09406133552631579;0.9914869172932331;
820;0.09533484680451126;0.9914869172932331;
825;0.09566379511278195;0.9914869172932331;
830;0.0959307894736842;0.9914869172932331;
835;0.09644538533834586;0.9914869172932331;
840;0.09717837218045113;0.9914869172932331;
845;0.09802634774436089;0.9914869172932331;
850;0.09899818984962405;0.9914869172932331;
855;0.09968317575187968;0.9914869172932331;
860;0.1003230159774436;0.9914869172932331;
865;0.10176660338345866;0.9914869172932331;
870;0.1039775460526316;0.9914869172932331;
875;0.10609720770676692;0.9914869172932331;
880;0.10886039661654136;0.9914869172932331;
885;0.11001712030075189;0.9914869172932331;
890;0.11004500939849625;0.9914869172932331;
895;0.11004500939849625;0.9914869172932331;
900;0.11004500939849625;0.9914869172932331;
905;0.11004500939849625;0.9914869172932331;
910;0.11004500939849625;0.9914869172932331;
915;0.11011342669172934;0.9914869172932331;
920;0.11021903477443609;0.9914869172932331;
925;0.11048279699248122;0.9914869172932331;
930;0.11070290413533837;0.9914869172932331;
935;0.11106747838345866;0.9914869172932331;
940;0.11148863721804511;0.9914869172932331;
945;0.11177716165413536;0.9914869172932331;
950;0.11224486936090228;0.9914869172932331;
955;0.11265273684210528;0.9914869172932331;
960;0.11295611654135339;0.9914869172932331;
965;0.11322292575187971;0.9914869172932331;
970;0.11325597368421056;0.9914869172932331;
975;0.11325597368421056;0.9914869172932331;
980;0.11325597368421056;0.9914869172932331;
985;0.11325597368421056;0.9914869172932331;
990;0.11325597368421056;0.9914869172932331;
995;0.11325597368421056;0.9914869172932331;
